Pradiniai duomenys:

Jau pastatytu parduotuviu koordinates:
  x         y
5.36     -3.98
-2.63      6.24
0.39       6.2
8.14      4.57
8.72      -5.7
-3.62      3.01
2.6      9.55
-1.8     -3.31
3.35      2.54
1.79     -5.61
  6     -1.97
-1.75      9.84
8.25     -4.69
7.71     -6.14
5.08     -8.86
-4.74     -3.05
-2.56      5.29
2.5      1.39
-1.21      1.73
1.59      -3.9
-1.69      3.17
-5.38     -6.27
0.29     -2.11
-7.65     -4.89
0.75      2.46
-1.75      3.58
-3.17     -7.87
7.83     -5.94
-3.37      8.38
-7.73      9.12
3.55         9
-2.9      -0.2
5.89      2.23
-6.9       0.4
4.33       3.7
 -1     -3.64
4.82     -6.15
-7.39      3.43
-2.52     -5.41
5.52      6.92
9.38      -1.3
-4.19     -4.93
1.09      9.37
8.94     -9.79
5.11      0.32
-3.67      6.18
9.4      0.05
-1.92      3.28
-6.75      1.86
-5.17     -0.25

Parduotuviu koordinates kurias reikia pastatyti:
  x         y
4.35     -0.04
-6.14     -1.82
-9.45      6.01
7.89      3.07
-5.46      5.33
4.59     -8.57
5.68     -6.92
-0.43      6.02
2.47     -8.11
8.57      0.68
-7.57      6.83
1.86     -4.76
-2.04      9.12
-6.63      9.84
-2.68     -6.16
-3.06      2.35
-6.25      1.37
0.83        -6
-6.18      8.95
-0.88      9.36
-0.73      0.96
5.09      -5.1
7.06     -5.57
-8.04       2.8
7.78     -1.71
-8.1     -0.57
3.4      5.27
-4.64     -0.99
-5.5     -2.67
-5.4       7.7
-5.68     -7.42
-9.33      0.32
-0.17     -4.44
3.61      -6.1
4.43      5.05
-7.82     -9.79
-8.15      3.95
5.15      6.32
4.69      0.96
9.84      8.37
-4.22     -2.88
-3.31     -0.14
-1.04      8.18
-1.77      3.79
6.66     -6.66
-9.21     -3.15
-7.21      1.86
0.8      1.73
2.89      0.78
-7.91      3.98
6.04     -6.39
-1.39     -1.26
-2.81     -2.34
-1.87     -8.65
9.25      4.03
-6.81      9.06
-2.75      -1.6
2.51     -6.68
5.36     -9.34
1.42     -9.99
5.26     -4.49
5.36      2.84
  5     -5.12
3.95     -0.21
-2.56      6.38
-7.42      8.45
9.61     -5.61
5.94      9.96
2.96     -4.06
-5.75     -8.79
4.6     -0.42
-6.93       1.3
8.61      9.81
5.36      8.83
-6.7      1.91
-1.18      5.59
-7.35      -4.4
6.34     -4.58
-4.55     -2.12
4.27     -4.43
-2.06      5.23
2.45      -1.1
0.97     -6.83
-4.69      9.63
9.21     -5.18
1.11     -6.46
5.4      2.61
-5.58      3.92
